year,early_spring
2020,True
2014,False
1999,False
2008,True
2013,True
1959,False
2006,True
1972,True
1973,True
2017,False
1996,True
1955,True
1978,False
2018,False
2003,True
1951,True
1968,True
1989,True
1954,True
2015,False
1950,False
1965,True
1998,True
1979,True
1971,True
1966,True
1980,False
1948,False
1983,True
1985,True
2019,True
1967,False
1977,True
2011,False
1987,False
2001,True
1953,True
2009,True
1949,True
1975,False
1991,False
1961,True
1969,False
1976,True
1997,True
1947,True
2004,True
1970,False
2021,True
1963,False
2007,True
1958,False
1957,True
1988,False
1992,False
2002,True
1994,False
1956,True
2005,False
1952,False
2010,True
2000,True
1960,False
1974,True
1982,True
1964,True
1984,True
