date,max_temp,min_temp,avg_temp,precipitation,snowfall,snowdepth
1947-01-01,30.0,24.0,27.0,0.12,0.5,1.0
1947-01-02,44.0,29.0,36.5,0.49,0.0,0.0
1947-01-03,54.0,41.0,47.5,0.04,0.0,
1947-01-04,42.0,24.0,33.0,0.0,0.0,
1947-01-05,33.0,25.0,29.0,0.0,0.0,
1947-01-06,33.0,17.0,25.0,0.12,2.0,2.0
1947-01-07,34.0,7.0,20.5,0.02,0.5,3.0
1947-01-08,35.0,27.0,31.0,0.03,0.4,3.0
1947-01-09,31.0,10.0,20.5,0.02,0.2,3.0
1947-01-10,30.0,17.0,23.5,0.0,0.0,2.0
1947-01-11,49.0,17.0,33.0,0.0,0.0,0.025
1947-01-12,47.0,27.0,37.0,0.0,0.0,
1947-01-13,40.0,22.0,31.0,0.0,0.0,
1947-01-14,50.0,34.0,42.0,0.03,0.0,
1947-01-15,50.0,40.0,45.0,0.89,0.0,
1947-01-16,51.0,37.0,44.0,0.02,0.0,
1947-01-17,49.0,21.0,35.0,0.0,0.0,
1947-01-18,42.0,22.0,32.0,0.0,0.0,
1947-01-19,44.0,19.0,31.5,0.0,0.0,
1947-01-20,54.0,36.0,45.0,0.77,0.0,
1947-01-21,46.0,9.0,27.5,0.0025,0.0025,0.025
1947-01-22,14.0,2.0,8.0,0.16,0.5,1.0
1947-01-23,37.0,7.0,22.0,0.0025,0.0025,0.025
1947-01-24,49.0,32.0,40.5,0.0,0.0,
1947-01-25,52.0,37.0,44.5,0.15,0.0,
1947-01-26,51.0,35.0,43.0,0.25,0.0,
1947-01-27,53.0,24.0,38.5,0.0,0.0,
1947-01-28,48.0,34.0,41.0,0.0,0.0,
1947-01-29,66.0,31.0,48.5,0.0,0.0,
1947-01-30,67.0,40.0,53.5,0.31,0.0,
1947-01-31,55.0,32.0,43.5,0.06,0.0,
1947-02-01,36.0,23.0,29.5,0.0,0.0,
1947-02-02,33.0,20.0,26.5,0.06,0.7,1.0
1948-01-01,46.0,38.0,42.0,0.5,0.0,
1948-01-02,41.0,30.0,35.5,0.35,0.0,
1948-01-03,32.0,29.0,30.5,0.0,0.0,
1948-01-04,34.0,28.0,31.0,0.0,0.0,0.025
1948-01-05,34.0,28.0,31.0,0.03,0.0025,0.025
1948-01-06,32.0,26.0,29.0,0.09,2.1,2.0
1948-01-07,32.0,17.0,24.5,0.01,0.2,2.0
1948-01-08,41.0,5.0,23.0,0.0,0.0,0.025
1948-01-09,49.0,28.0,38.5,0.04,0.0025,0.025
1948-01-10,33.0,20.0,26.5,0.0,0.0,0.025
1948-01-11,30.0,11.0,20.5,0.0,0.0,0.025
1948-01-12,36.0,12.0,24.0,0.29,3.0,2.0
1948-01-13,35.0,28.0,31.5,0.03,0.5,2.0
1948-01-14,29.0,8.0,18.5,0.03,1.0,2.0
1948-01-15,21.0,-11.0,5.0,0.0,0.0,2.0
1948-01-16,36.0,18.0,27.0,0.01,0.3,1.0
