,date,max_temp,min_temp,avg_temp,precipitation,snowfall,snowdepth,year,month,day,phil_pred,spring
0,1947-01-01,30.0,24.0,27.0,0.12,0.5,1.0,1947,1,1,False,True
1,1947-01-02,44.0,29.0,36.5,0.49,0.0,0.0,1947,1,2,False,True
2,1947-01-03,54.0,41.0,47.5,0.04,0.0,,1947,1,3,False,True
3,1947-01-04,42.0,24.0,33.0,0.0,0.0,,1947,1,4,False,True
4,1947-01-05,33.0,25.0,29.0,0.0,0.0,,1947,1,5,False,True
5,1947-01-06,33.0,17.0,25.0,0.12,2.0,2.0,1947,1,6,False,True
6,1947-01-07,34.0,7.0,20.5,0.02,0.5,3.0,1947,1,7,False,True
7,1947-01-08,35.0,27.0,31.0,0.03,0.4,3.0,1947,1,8,False,True
8,1947-01-09,31.0,10.0,20.5,0.02,0.2,3.0,1947,1,9,False,True
9,1947-01-10,30.0,17.0,23.5,0.0,0.0,2.0,1947,1,10,False,True
10,1947-01-11,49.0,17.0,33.0,0.0,0.0,0.025,1947,1,11,False,True
11,1947-01-12,47.0,27.0,37.0,0.0,0.0,,1947,1,12,False,True
12,1947-01-13,40.0,22.0,31.0,0.0,0.0,,1947,1,13,False,True
14,1947-01-15,50.0,40.0,45.0,0.89,0.0,,1947,1,15,False,True
15,1947-01-16,51.0,37.0,44.0,0.02,0.0,,1947,1,16,False,True
16,1947-01-17,49.0,21.0,35.0,0.0,0.0,,1947,1,17,False,True
17,1947-01-18,42.0,22.0,32.0,0.0,0.0,,1947,1,18,False,True
18,1947-01-19,44.0,19.0,31.5,0.0,0.0,,1947,1,19,False,True
19,1947-01-20,54.0,36.0,45.0,0.77,0.0,,1947,1,20,False,True
20,1947-01-21,46.0,9.0,27.5,0.0025,0.0025,0.025,1947,1,21,False,True
21,1947-01-22,14.0,2.0,8.0,0.16,0.5,1.0,1947,1,22,False,True
22,1947-01-23,37.0,7.0,22.0,0.0025,0.0025,0.025,1947,1,23,False,True
24,1947-01-25,52.0,37.0,44.5,0.15,0.0,,1947,1,25,False,True
25,1947-01-26,51.0,35.0,43.0,0.25,0.0,,1947,1,26,False,True
26,1947-01-27,53.0,24.0,38.5,0.0,0.0,,1947,1,27,False,True
27,1947-01-28,48.0,34.0,41.0,0.0,0.0,,1947,1,28,False,True
28,1947-01-29,66.0,31.0,48.5,0.0,0.0,,1947,1,29,False,True
30,1947-01-31,55.0,32.0,43.5,0.06,0.0,,1947,1,31,False,True
31,1947-02-01,36.0,23.0,29.5,0.0,0.0,,1947,2,1,False,True
32,1947-02-02,33.0,20.0,26.5,0.06,0.7,1.0,1947,2,2,False,True
33,1948-01-01,46.0,38.0,42.0,0.5,0.0,,1948,1,1,False,False
34,1948-01-02,41.0,30.0,35.5,0.35,0.0,,1948,1,2,False,False
35,1948-01-03,32.0,29.0,30.5,0.0,0.0,,1948,1,3,False,False
36,1948-01-04,34.0,28.0,31.0,0.0,0.0,0.025,1948,1,4,False,False
37,1948-01-05,34.0,28.0,31.0,0.03,0.0025,0.025,1948,1,5,False,False
38,1948-01-06,32.0,26.0,29.0,0.09,2.1,2.0,1948,1,6,False,False
39,1948-01-07,32.0,17.0,24.5,0.01,0.2,2.0,1948,1,7,False,False
40,1948-01-08,41.0,5.0,23.0,0.0,0.0,0.025,1948,1,8,False,False
41,1948-01-09,49.0,28.0,38.5,0.04,0.0025,0.025,1948,1,9,False,False
42,1948-01-10,33.0,20.0,26.5,0.0,0.0,0.025,1948,1,10,False,False
43,1948-01-11,30.0,11.0,20.5,0.0,0.0,0.025,1948,1,11,False,False
